"b0","b1","b2","b3","b4","b5","r0","r1","r2","r3","r4","r5","segments activated","description"
"?",,,,,,,"c0",,,,,,
,1,,,,,,"c0",,,,,"25,41,43,44,47","partial “pm” and “:”"
,,1,,,,,"c0",,,,,"25,32,35,41,43,44,47","3rd digit “1”, partial “:”"
,,,1,,,,"c0",,,,,"24,25","Partial “:”"
,,,,"?",,,"c0",,,,,,
,,,,,"?",,"c0",,,,,,
,,,,,,1,"c0",,,,,"none","unused pin?"
,,,,,,,"c0",1,,,,"31,33,34,36,37","3rd digit “3”"
,,,,,,,"c0",,1,,,"12,21,23,26","1st digit upper dash, 2nd digit “7”"
,,,,,,,"c0",,,1,,"21,22,23,24","2 digit “o”"
,,,,,,,"c0",,,,1,"22,27,37,47","2 digit vertical dash, and underscores"
